weekly-10000001,每周绩效：首席看护
weekly-20000001,进行100次战术少女修复。
weekly-10000002,每周绩效：机器终结者
weekly-20000002,战斗胜利情况下消灭200个普通机械铁血兵。
weekly-10000003,每周绩效：人形克星
weekly-20000003,战斗胜利情况下消灭200个普通人形铁血兵。
weekly-10000004,每周绩效：王牌猎人
weekly-20000004,战斗胜利情况下消灭10个BOSS。
weekly-10000005,每周绩效：王牌支援
weekly-20000005,完成50次后勤支援。
weekly-10000006,每周绩效：战斗大师
weekly-20000006,以S评价完成100场战斗。
weekly-10000007,每周绩效：改造能手
weekly-20000007,进行20次战术少女强化。
weekly-10000008,每周绩效：人偶竞赛
weekly-20000008,进行20次战术少女制造。
weekly-10000009,每周绩效：严格教官
weekly-20000009,进行5次技能训练（包括人形/妖精/重装部队）。
weekly-10000010,每周绩效：电子战士
weekly-20000010,完成20次模拟作战。
weekly-10000011,每周绩效：武装阵线
weekly-20000011,进行20次装备建造。
weekly-10000012,每周绩效：装甲追击者
weekly-20000012,战斗胜利情况下消灭200个装甲机械铁血兵。
weekly-10000013,每周绩效：铁人杀手
weekly-20000013,战斗胜利情况下消灭200个装甲人形铁血兵。
weekly-10000014,每周绩效：重装扩展
weekly-20000014,进行1次人形重型建造。
weekly-10000015,每周绩效：武装革新
weekly-20000015,进行5次装备校准
weekly-10000016,每周绩效：武装强化
weekly-20000016,进行20次装备强化
weekly-10000017,每周绩效：自动化尝试
weekly-20000017,进行3次装备重型建造。
weekly-10000018,每周绩效：编程高手
weekly-20000018,进行3次妖精校准。
weekly-10000019,每周绩效：支援专家
weekly-20000019,进行1次妖精强化。
weekly-10000020,每周绩效：数据精算师
weekly-20000020,进行20次情报解析。
weekly-10000021,每周绩效：芯片修补匠
weekly-20000021,累计通过强化消耗20个芯片。
